Model,Best_Params,Train_R2,Test_R2,Test_MAE,Test_RMSE,Overfit_Gap,Overfit_Percentage
SVR,"{'C': 10, 'epsilon': 0.2, 'gamma': 0.1, 'kernel': 'rbf'}",0.8785389254278482,0.6962432244688856,0.4261561073733939,0.565568439871232,0.18229570095896253,20.7498718249945
XGBoost,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 400, 'subsample': 0.8}",0.9752428842202433,0.6738304502089791,0.4169795245978265,0.5860624372331903,0.30141243401126416,30.906396641105342
LightGBM,"{'learning_rate': 0.05, 'max_depth': 7, 'min_child_samples': 20, 'n_estimators': 300, 'num_leaves': 50, 'subsample': 0.8}",0.9571595239709271,0.6736204472643708,0.44319116236113815,0.5862510738390414,0.2835390767065563,29.622969798205613
GradientBoosting,"{'learning_rate': 0.05, 'max_depth': 6, 'min_samples_split': 5, 'n_estimators': 300, 'subsample': 0.9}",0.9737843117030124,0.6704068863068788,0.42488070166217906,0.5891301433840616,0.30337742539613355,31.154478640713457
RandomForest,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.8881751746393222,0.6460162257581088,0.4651759003742306,0.6105396276562853,0.24215894888121337,27.264773413595055
DecisionTree,"{'max_depth': 10, 'min_samples_leaf': 12, 'min_samples_split': 5}",0.6972766171829413,0.4323420853372232,0.6116589078320097,0.7731531479404576,0.26493453184571814,37.99561398115957
Ridge,{'alpha': 100},0.37194375684866776,0.3657693727298036,0.6404616792053558,0.8172327926163439,0.0061743841188641735,1.660031659403907
ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.366788399701506,0.3587372414944634,0.6425892777418276,0.821750901507533,0.008051158207042608,2.1950416680556626
Lasso,{'alpha': 0.1},0.2824220449145336,0.2764564184831386,0.6860642385038203,0.8728799691179003,0.005965626431394977,2.1123090561858553
