Model,Best_Params,CV_Score,Train_R2,Test_R2,Test_MAE,Test_RMSE
RandomForest,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7014589010997844,0.8973871400383547,0.7405326805301881,0.288457818890891,0.4944763540155215
XGBoost,"{'colsample_bytree': 0.9, 'learning_rate': 0.15, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.9}",0.7024026002954289,0.9831637719061609,0.7332337887325402,0.301904214406763,0.5013830018030649
SVR,"{'C': 10, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.7419944254414645,0.8305940725984734,0.7301928879664515,0.275409784192712,0.504232567348096
Lasso,{'alpha': 0.01},0.5818619034330533,0.6159359196158687,0.6750657580641761,0.359850659879119,0.5533525757655757
LightGBM,"{'learning_rate': 0.1, 'max_depth': 7, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 50, 'subsample': 0.8}",0.7072713824946366,0.9715743946376243,0.6745944501780687,0.31824848940836026,0.5537537414432603
Ridge,{'alpha': 10},0.5832386186325191,0.6175995765689679,0.6707546407023759,0.3652856949508339,0.5570113271737148
ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.575286970801167,0.604094548774015,0.6698804771782685,0.365537276731146,0.55775028400414
GradientBoosting,"{'learning_rate': 0.15, 'max_depth': 4, 'min_samples_split': 10, 'n_estimators': 200, 'subsample': 0.8}",0.6702320411203095,0.9813285065326656,0.6643471499896605,0.30807120285066786,0.5624052489422778
DecisionTree,"{'max_depth': 10, 'min_samples_leaf': 12, 'min_samples_split': 5}",0.572905038279244,0.7643721889249585,0.5679624912937667,0.3901673308363827,0.6380649993238936
